number,accuracy,recall,f1-score
0,"[0, 0.8255277845183208]",0.024489796,0.047682119
1,"[1, 0.804416403785489]",0.039568345,0.075688073
2,"[2, 0.8223732103858287]",0.03968254,0.075757576
3,"[3, 0.8408153360834749]",0.017991004,0.035294118
4,"[4, 0.8786702256733803]",0.025390625,0.049429658
5,"[5, 0.8840087357437515]",0.042084168,0.080769231
6,"[6, 0.8226158699344819]",0.009549795,0.018791946
7,"[7, 0.781121087114778]",0.0220022,0.042462845
8,"[8, 0.8349915069157972]",0.030215827,0.058171745
9,"[9, 0.8274690609075467]",0.02351314,0.045637584
10,"[10, 0.8357194855617569]",0.042674253,0.081411126
11,"[11, 0.8699344819218636]",0.00929368,0.018315018
12,"[12, 0.8728463965057025]",0.0056926,0.011320755
13,"[13, 0.7371997088085416]",0.051924799,0.096747289
14,"[14, 0.8262557631642805]",0.037940379,0.07253886
15,"[15, 0.8929871390439214]",0.022222222,0.043383948
16,"[16, 0.9383644746420772]",0.042307692,0.079710145
17,"[17, 0.9437029847124484]",0.021276596,0.041322314
18,"[18, 0.905848095122543]",0.030534351,0.058252427
19,"[19, 0.9512254307206989]",0.070754717,0.12987013
,,,
,,0.030455436,0.058127845
